Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC30878740,283.39,283.39,-1.4629,-1.78,5,3,249.29,0.2615,63.0,3.5942,none,none,none,none,6,hur_model_ZINC30878740_uff_E=270.47,-5.1,ZINC30878740,True
ZINC20465219,400.449,400.449,0.9269,-2.995,6,3,293.38,0.219,82.03,2.5808,none,none,none,none,5,hur_model_ZINC20465219_uff_E=497.89,-7.9,ZINC20465219,True
ZINC20465221,356.442,356.442,-0.7377,-1.983,7,3,250.36,0.3187,107.48,4.7813,none,none,none,none,4,hur_model_ZINC20465221_uff_E=951.55,-7.0,ZINC20465221,True
ZINC30878746,346.466,346.466,-0.3088,-0.998,7,2,284.98,0.24967,80.26,5.6452,none,none,none,none,11,hur_model_ZINC30878746_uff_E=377.99,-5.0,ZINC30878746,True
ZINC20465223,418.512,418.512,0.5127,-2.229,7,3,297.86,0.26788,107.48,-2.958,none,none,none,none,5,hur_model_ZINC20465223_uff_E=934.61,-6.2,ZINC20465223,True
ZINC20465225,448.538,448.538,0.4427,-2.247,8,3,320.12,0.28049,116.71,4.7964,none,none,none,none,6,hur_model_ZINC20465225_uff_E=955.10,-7.1,ZINC20465225,True
ZINC30878759,375.511,375.511,1.4498,-2.57,6,2,297.02,0.18416,65.04,9.0354,none,none,none,none,6,hur_model_ZINC30878759_uff_E=418.04,-7.0,ZINC30878759,True
ZINC20465228,436.503,436.503,0.6135,-2.543,7,3,304.21,0.26229,107.48,2.0773,none,none,none,none,5,hur_model_ZINC20465228_uff_E=934.92,-7.8,ZINC20465228,True
ZINC30878765,301.405,301.405,-2.2645,-1.223,6,3,251.0,0.29956,72.23,1.8048,none,none,none,none,5,hur_model_ZINC30878765_uff_E=295.98,-5.5,ZINC30878765,True
ZINC20465233,397.473,397.473,0.82,-3.197,7,4,298.49,0.25364,94.06,3.9496,none,none,none,none,5,hur_model_ZINC20465233_uff_E=647.17,-8.1,ZINC20465233,True
ZINC30878778,393.501,393.501,1.5506,-2.884,6,2,303.37,0.18031,65.04,7.6954,none,none,none,none,6,hur_model_ZINC30878778_uff_E=416.44,-6.3,ZINC30878778,True
ZINC20465236,433.454,433.454,1.0216,-3.825,7,4,311.19,0.24329,94.06,2.6096,none,none,none,none,5,hur_model_ZINC20465236_uff_E=528.39,-7.3,ZINC20465236,True
ZINC20465239,431.918,431.918,1.426,-3.933,7,4,313.91,0.24118,94.06,4.0248,none,none,none,none,5,hur_model_ZINC20465239_uff_E=519.87,-7.3,ZINC20465239,True
ZINC30878790,370.468,370.468,-2.6285,-0.034,8,2,294.67,0.28462,83.75,3.6866,none,none,none,none,4,hur_model_ZINC30878790_uff_E=416.59,-7.2,ZINC30878790,True
ZINC20465242,427.499,427.499,0.75,-3.215,8,4,320.75,0.26722,103.29,4.0552,none,none,none,none,6,hur_model_ZINC20465242_uff_E=555.51,-7.6,ZINC20465242,True
